Apr,Aug,Average Employment Annual,Average Employment Qtr 1,Average Employment Qtr 2,Average Employment Qtr 3,Average Employment Qtr 4,Average Female Employment Annual,Average Female Employment Qtr 1,Average Female Employment Qtr 2,Average Female Employment Qtr 3,Average Female Employment Qtr 4,Average Wage Annual,Average Wage Qtr 1,Average Wage Qtr 2,Average Wage Qtr 3,Average Wage Qtr 4,County,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Number of Establishments Annual,Number of Establishments Qtr 1,Number of Establishments Qtr 2,Number of Establishments Qtr 3,Number of Establishments Qtr 4,Oct,Sep,Total Wages Annual,Total Wages Qtr 1,Total Wages Qtr 2,Total Wages Qtr 3,Total Wages Qtr 4,Type,Year
237321,250506,244531,241335,242083,248846,245859,117224,116154,117176,117329,118235,31571,7691,7642,7669,8565,Vermont,248550,241079,242529,249390,247340,240398,241589,243466,22279,22046,22284,22392,22394,245562,246642,7720168,1856136,1849917,1908407,2105708,Private ownership,2003
54289,58639,55811,52962,56201,58004,56077,13608,13661,13727,13633,13409,40344,10129,9605,9611,11019,Vermont,55301,52635,53368,58429,57841,52883,56472,56142,4558,4474,4550,4600,4608,56789,56944,2251645,536463,539793,557494,617894,Goods Producing domain,2003
2844,3289,2946,2518,3067,3270,2931,718,618,842,783,628,26813,6835,6240,6464,7341,Vermont,2741,2445,2471,3296,3262,2639,3094,2941,422,420,420,425,421,3111,3225,79004,17212,19135,21139,21518,Natural Resources and Mining supersector,2003
2066,2443,2174,1864,2249,2433,2151,632,531,751,699,547,21662,5522,5105,5295,5784,Vermont,2011,1832,1842,2468,2420,1917,2261,2148,354,353,352,356,354,2295,2388,47099,10292,11482,12882,12444,"Agriculture, forestry, fishing and hunting",2003
778,846,772,655,818,837,780,86,87,91,84,81,41314,10571,9359,9865,11638,Vermont,730,613,629,828,842,722,833,793,68,67,68,69,67,816,837,31904,6921,7653,8257,9074,Mining,2003
13779,17513,15378,12635,15342,17285,16251,1766,1601,1825,1849,1789,33388,7888,7958,8055,9381,Vermont,15604,12416,13013,17336,16618,12476,15629,16309,2912,2833,2902,2950,2961,16840,17006,513446,99669,122097,139222,152458,Construction supersector,2003
37666,37837,37486,37809,37792,37449,36895,11124,11442,11060,11001,10992,44261,11098,10546,10605,12032,Vermont,36956,37774,37884,37797,37961,37768,37749,36892,1225,1221,1228,1225,1226,36838,36713,1659196,419582,398562,397133,443919,Manufacturing supersector,2003
27134,27003,26741,27071,27192,26654,26049,7281,7592,7254,7133,7144,47773,11968,11253,11473,13120,Vermont,26128,27046,27119,27045,27267,27048,27175,26033,803,799,803,803,805,25985,25914,1277527,323977,305989,305805,341756,Durable Goods manufacturing,2003
10532,10834,10745,10738,10600,10795,10847,3843,3850,3806,3868,3848,35521,8904,8733,8460,9419,Vermont,10828,10728,10765,10752,10694,10720,10574,10859,423,422,425,422,421,10853,10799,381669,95605,92573,91328,102163,Non-Durable Goods manufacturing,2003
183032,191867,188720,188373,185883,190842,189782,103616,102493,103449,103696,104826,28977,7006,7048,7079,7840,Vermont,193249,188444,189161,190961,189499,187515,185117,187324,17721,17572,17734,17792,17786,188773,189698,5468523,1319672,1310124,1350913,1487813,Service Providing domain,2003
56835,57923,58075,57236,57499,57867,59699,24033,23305,23887,23766,25175,28671,6979,6923,7136,7615,Vermont,60697,57216,57806,57805,58208,56685,57455,59637,5598,5560,5600,5608,5622,58763,57872,1665082,399472,398065,412937,454608,"Trade, Transportation, and Utilities supersector",2003
10148,10302,10256,10154,10228,10283,10358,2824,2843,2837,2806,2808,44235,10491,10465,11034,12226,Vermont,10314,10145,10188,10238,10318,10130,10217,10358,1315,1297,1315,1315,1331,10401,10309,453658,106525,107037,113461,126635,Wholesale trade,2003
38431,39670,39519,38761,38926,39526,40866,19033,18269,18887,18807,20167,22390,5417,5493,5559,5906,Vermont,41894,38750,39224,39687,39439,38308,38907,40847,3669,3657,3669,3676,3675,39856,39220,884853,209956,213830,219728,241339,Retail trade,2003
6537,6223,6574,6605,6610,6328,6754,1782,1784,1769,1765,1809,31636,7602,7622,8077,8331,Vermont,6763,6605,6680,6136,6698,6529,6594,6710,562,555,564,564,563,6788,6625,207972,50212,50382,51112,56267,Transportation and warehousing,2003
1719,1728,1726,1716,1736,1730,1722,396,409,394,388,391,68710,19102,15444,16552,17635,Vermont,1726,1716,1714,1744,1753,1718,1737,1722,52,51,52,53,53,1718,1718,118598,32780,26816,28635,30367,Utilities,2003
6490,6508,6495,6494,6535,6494,6455,3255,3260,3298,3236,3224,37227,9055,9087,9098,9992,Vermont,6447,6463,6496,6500,6580,6524,6535,6483,510,508,507,513,510,6436,6473,241773,58809,59381,59081,64501,Information supersector,2003
12743,13321,12989,12740,12911,13251,13056,8160,8162,8194,8141,8143,44513,11850,10594,10378,11713,Vermont,13144,12742,12736,13331,13130,12741,12861,12973,1654,1639,1648,1657,1671,13051,13101,578201,150966,136785,137524,152926,Financial Activities supersector,2003
9833,10017,9888,9775,9852,9990,9936,6780,6823,6801,6771,6725,49841,13418,11858,11588,12992,Vermont,10015,9788,9746,10030,9932,9792,9792,9912,941,935,942,938,948,9882,9922,492850,131162,116828,115763,129096,Finance and insurance,2003
2910,3304,3101,2964,3059,3261,3120,1380,1339,1393,1370,1418,27523,6681,6524,6672,7639,Vermont,3129,2954,2990,3301,3198,2949,3069,3061,713,704,706,719,723,3169,3179,85351,19803,19957,21761,23830,Real estate and rental and leasing,2003
20018,21107,20394,19466,20539,20981,20591,9047,8903,9097,9050,9137,38298,9046,8839,9081,11310,Vermont,20677,19533,19399,21044,21007,19467,20592,20525,3545,3483,3534,3576,3587,20572,20791,781054,176088,181549,190528,232889,Professional and Business Services supersector,2003
12273,12251,12230,12101,12289,12214,12318,6073,6105,6009,6029,6147,47264,10652,10783,11187,14614,Vermont,12446,12159,12001,12245,12318,12142,12276,12295,2425,2397,2415,2438,2448,12212,12145,578054,128896,132514,136634,180009,Professional and technical services,2003
292,267,282,279,288,266,296,128,125,132,117,139,59466,20702,11603,13823,13489,Vermont,318,280,282,270,284,274,289,305,21,20,21,20,21,264,261,16779,5769,3346,3677,3988,Management of companies and enterprises,2003
7453,8589,7882,7087,7962,8501,7978,2846,2673,2956,2904,2851,23626,5845,5739,5907,6128,Vermont,7913,7094,7116,8529,8405,7051,8027,7925,1100,1066,1098,1118,1118,8096,8385,186221,41423,45689,50217,48891,Administrative and waste services,2003
48421,48773,48698,47855,48623,48969,49347,36619,36201,36505,36831,36939,30453,7349,7553,7466,8076,Vermont,49620,47789,47623,48789,48742,48154,48705,49205,2128,2108,2135,2141,2127,49215,49344,1483034,351689,367233,365599,398513,Education and Health Services supersector,2003
9315,8386,9005,8983,9051,8653,9334,5243,5299,5054,5276,5341,31041,7512,7838,8030,7673,Vermont,9392,9121,8721,8470,8678,9107,9160,9288,301,296,300,306,303,9321,9103,279527,67482,70941,69487,71617,Educational services,2003
39106,40387,39693,38872,39572,40316,40013,31377,30902,31451,31555,31598,30320,7311,7487,7345,8170,Vermont,40228,38668,38902,40319,40064,39047,39545,39917,1827,1812,1835,1835,1824,39894,40241,1203508,284207,296291,296112,326897,Health care and social assistance,2003
29224,34716,32725,35388,30337,33801,31374,17629,17898,17459,17753,17404,15223,3702,3705,3843,3981,Vermont,33359,35528,35939,33948,32202,34696,29586,29292,2199,2178,2208,2205,2204,31470,32738,498161,131009,112387,129881,124884,Leisure and Hospitality supersector,2003
3021,4620,3691,3214,3711,4544,3296,1847,1637,2052,2106,1594,16397,3886,4032,3999,4523,Vermont,3038,3223,3199,4561,4325,3220,3788,3001,373,374,374,372,373,3848,4450,60526,12488,14965,18168,14905,"Arts, entertainment, and recreation",2003
26203,30096,29034,32174,26626,29257,28078,15781,16261,15407,15647,15810,15073,3684,3659,3818,3917,Vermont,30321,32305,32740,29387,27877,31476,25798,26291,1826,1804,1834,1833,1831,27622,28288,437635,118521,97422,111713,109979,Accommodation and food services,2003
9301,9519,9343,9194,9438,9481,9260,4874,4764,5009,4919,4804,23677,5616,5798,5839,6425,Vermont,9305,9173,9162,9544,9630,9248,9383,9209,2089,2096,2102,2092,2065,9266,9379,221218,51639,54724,55362,59492,"Other services, except public administration supersector",2003
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vermont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unspecified industry supersector,2003
6213,6307,6250,6194,6228,6290,6285,na,na,na,na,na,47621,11811,11874,11906,12030,Vermont,6276,6201,6184,6289,6241,6198,6230,6285,614,636,604,604,613,6295,6275,297610,73159,73950,74891,75610,Federal Government,2003
15354,15301,15310,15042,15030,15504,15666,7682,7949,7494,7688,7597,39573,9502,10322,9123,10620,Vermont,15439,15214,14599,15337,15026,15312,14710,15706,254,254,254,254,254,15852,15873,605877,142932,155141,141442,166362,State government,2003
30061,20094,28198,29888,30177,22293,30433,19371,19641,19347,18644,19851,29080,6834,8018,7085,7091,Vermont,30735,30040,29748,18004,29870,29876,30599,30480,825,825,826,824,824,30083,28782,819985,204269,241950,157954,215811,Local government,2003
293931,296947,298491,294749,298159,298039,303017,na,na,na,na,na,33276,7998,8240,8231,8795,Vermont,304737,294991,294400,294473,302691,294857,297855,300996,24333,23947,24282,24527,24577,303317,302697,9932495,2357480,2456750,2453248,2665016,Total Covered -  all ownerships,2004
241590,253587,248094,243139,246541,252663,250034,119140,117240,119691,118943,120685,32724,7902,7974,8052,8786,Vermont,251896,242998,243545,253487,252233,242873,245801,247746,22566,22185,22518,22755,22804,250461,250916,8118528,1921284,1966004,2034543,2196698,Private ownership,2004
55208,59511,56714,52947,57171,59211,57528,13493,13059,13741,13603,13567,41238,10151,9973,10141,10963,Vermont,56546,52890,52909,59392,58913,53043,57391,57522,4669,4538,4648,4741,4747,58516,58729,2338780,537492,570148,600456,630685,Goods Producing domain,2004
2995,3344,3063,2583,3213,3346,3109,763,640,916,827,670,26701,6844,6231,6546,7132,Vermont,2932,2555,2530,3387,3378,2664,3266,3114,429,424,425,434,434,3281,3306,81776,17679,20021,21902,22175,Natural Resources and Mining supersector,2004
2214,2526,2301,1972,2405,2530,2296,673,555,819,733,584,22361,5573,5286,5525,5996,Vermont,2148,1953,1940,2583,2562,2022,2440,2296,366,363,362,369,369,2445,2481,51449,10988,12714,13980,13768,"Agriculture, forestry, fishing and hunting",2004
781,818,762,611,808,816,813,91,85,97,94,86,39807,10945,9047,9713,10344,Vermont,784,602,590,804,816,642,826,818,64,61,63,65,65,836,825,30326,6691,7307,7922,8406,Mining,2004
15713,18699,16674,13989,17067,18529,17110,1813,1638,1942,1883,1789,34779,8139,8293,8519,9740,Vermont,16162,13849,14153,18739,18246,13966,17243,17247,3032,2915,3014,3093,3104,17921,18148,579901,113864,141544,157840,166654,Construction supersector,2004
36500,37468,36978,36375,36890,37336,37309,10916,10781,10883,10893,11108,45354,11160,11076,11268,11843,Vermont,37452,36486,36226,37266,37289,36413,36882,37161,1208,1199,1209,1214,1209,37314,37275,1677103,405949,408584,420714,441856,Manufacturing supersector,2004
26108,26698,26418,25939,26405,26633,26693,7187,7110,7203,7093,7341,48966,12126,11989,12104,12740,Vermont,26884,26064,25786,26582,26702,25968,26406,26573,789,785,792,793,787,26622,26619,1293573,314534,316583,322374,340081,Durable Goods manufacturing,2004
10392,10770,10560,10436,10485,10703,10616,3730,3671,3680,3800,3767,36319,8760,8774,9188,9587,Vermont,10568,10422,10440,10684,10587,10445,10476,10588,419,414,417,421,422,10692,10656,383530,91415,92000,98340,101775,Non-Durable Goods manufacturing,2004
186382,194076,191380,190191,189371,193453,192506,105647,104181,105950,105340,107118,30200,7276,7371,7413,8135,Vermont,195350,190108,190636,194095,193320,189830,188410,190224,17897,17647,17870,18014,18057,191945,192187,5779748,1383792,1395856,1434087,1566013,Service Providing domain,2004
57670,58704,58714,57421,58419,58646,60368,24700,23819,24437,24408,26135,29737,7360,7187,7336,7839,Vermont,61125,57255,57710,58854,59037,57298,58549,60478,5609,5565,5604,5630,5637,59501,58381,1745970,422645,419881,430231,473212,"Trade, Transportation, and Utilities supersector",2004
10228,10137,10198,10158,10274,10192,10166,2784,2800,2845,2717,2774,44675,11042,10730,10955,11953,Vermont,10045,10138,10140,10381,10278,10197,10317,10253,1336,1309,1334,1346,1356,10201,10058,455589,112172,110246,111657,121514,Wholesale trade,2004
39123,40362,40042,38887,39726,40137,41420,19638,18793,19381,19418,20960,23439,5624,5690,5832,6271,Vermont,42302,38727,39185,40267,40229,38749,39827,41469,3669,3663,3670,3674,3667,40488,39781,938554,218686,226055,234066,259747,Retail trade,2004
6599,6486,6759,6656,6700,6598,7082,1878,1810,1819,1874,2007,32098,7664,7860,8067,8480,Vermont,7079,6668,6669,6478,6814,6630,6687,7060,555,543,550,561,565,7108,6830,216950,51008,52660,53227,60055,Transportation and warehousing,2004
1720,1719,1714,1720,1718,1720,1700,400,416,392,399,394,78676,23709,17998,18190,18766,Vermont,1699,1722,1716,1728,1716,1722,1718,1696,50,50,50,49,49,1704,1712,134877,40780,30920,31281,31896,Utilities,2004
6376,6389,6363,6409,6410,6341,6291,3203,3225,3262,3150,3175,38874,9746,9323,9600,10213,Vermont,6294,6369,6435,6405,6436,6424,6418,6278,515,507,514,517,523,6300,6229,247345,62465,59760,60875,64245,Information supersector,2004
12829,13262,13005,12898,13005,13168,12948,8228,8310,8280,8128,8194,46154,12250,10762,10656,12506,Vermont,13069,12783,13021,13236,13159,12890,13027,12896,1691,1672,1678,1699,1715,12879,13005,600212,157998,139963,140319,161932,Financial Activities supersector,2004
9725,9826,9751,9767,9794,9759,9684,6738,6847,6777,6643,6683,51827,13973,12013,11987,13864,Vermont,9780,9690,9869,9806,9829,9742,9829,9661,950,940,944,954,963,9612,9644,505369,136474,117657,116980,134259,Finance and insurance,2004
3104,3436,3254,3131,3211,3409,3264,1491,1463,1503,1485,1511,29150,6875,6948,6846,8479,Vermont,3289,3093,3152,3430,3330,3148,3198,3235,741,732,734,745,752,3267,3361,94843,21525,22306,23339,27673,Real estate and rental and leasing,2004
21421,21869,21272,20114,21430,21805,21740,9424,9059,9476,9479,9682,40197,9341,9881,9501,11420,Vermont,21769,20045,19957,21784,21673,20340,21195,21651,3635,3512,3616,3685,3725,21799,21763,855080,187893,211745,207168,248273,Professional and Business Services supersector,2004
12615,12651,12591,12316,12606,12661,12781,6259,6177,6269,6240,6348,48994,11135,11583,11585,14634,Vermont,12933,12326,12152,12677,12687,12470,12516,12742,2502,2424,2478,2531,2575,12667,12655,616874,137136,146021,146679,187039,Professional and technical services,2004
315,285,307,295,321,292,319,139,137,141,128,149,57884,16988,12393,14164,14516,Vermont,337,293,282,304,319,310,329,328,23,23,23,23,24,291,287,17751,5012,3978,4136,4626,Management of companies and enterprises,2004
8491,8933,8375,7503,8503,8852,8640,3027,2745,3066,3111,3185,26324,6097,7262,6366,6552,Vermont,8499,7426,7523,8803,8667,7560,8350,8581,1109,1065,1115,1131,1126,8841,8821,220455,45745,61747,56354,56609,Administrative and waste services,2004
49602,49027,49688,49072,49885,49567,50228,37448,37035,37596,37322,37838,31705,7435,7800,8046,8413,Vermont,50504,49080,48740,49361,50139,49395,49913,50188,2155,2139,2145,2166,2168,49992,50312,1575337,364850,389097,398819,422571,Education and Health Services supersector,2004
9076,8184,8973,9133,8883,8557,9317,5172,5372,4983,5075,5257,33409,7614,8583,8605,8623,Vermont,9248,9270,8959,8396,8599,9171,8973,9392,311,310,311,313,311,9312,9092,299765,69542,76238,73638,80347,Educational services,2004
40526,40843,40715,39938,41002,41009,40911,32276,31663,32613,32247,32581,31329,7394,7630,7929,8365,Vermont,41256,39810,39781,40965,41540,40224,40940,40796,1843,1829,1834,1853,1857,40680,41220,1275571,295307,312859,325181,342224,Health care and social assistance,2004
29235,35405,33043,35061,30828,34526,31756,17819,17967,17921,18021,17366,15976,3836,3852,4028,4270,Vermont,33444,35372,35511,34951,33277,34301,29971,29644,2223,2187,2230,2237,2237,32181,33221,527897,134493,118735,139071,135598,Leisure and Hospitality supersector,2004
3126,4705,3718,3247,3745,4584,3297,1843,1695,2013,2038,1626,18414,3984,4225,4412,5910,Vermont,3074,3291,3240,4634,4332,3210,3776,2962,390,376,390,396,398,3855,4414,68469,12937,15822,20225,19485,"Arts, entertainment, and recreation",2004
26109,30700,29325,31814,27083,29941,28459,15976,16272,15908,15983,15740,15667,3821,3800,3969,4080,Vermont,30370,32081,32271,30317,28945,31091,26195,26682,1833,1811,1840,1841,1839,28326,28807,459427,121556,102912,118846,116112,Accommodation and food services,2004
9249,9420,9297,9216,9395,9400,9176,4826,4766,4978,4832,4728,24515,5799,6032,6128,6559,Vermont,9145,9204,9262,9504,9599,9182,9337,9089,2070,2065,2083,2080,2052,9293,9276,227908,53448,56674,57602,60183,"Other services, except public administration supersector",2004
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vermont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unspecified industry supersector,2004
6300,6258,6248,6259,6263,6276,6193,na,na,na,na,na,51269,12381,12618,13452,12816,Vermont,6200,6268,6291,6301,6260,6218,6228,6175,620,615,617,623,624,6204,6270,320317,77492,79025,84428,79372,Federal Government,2004
15771,15612,15656,15533,15442,15726,15923,7924,8071,7665,8056,7905,40786,9726,10532,10628,9905,Vermont,15781,15696,15064,15440,15465,15840,15089,15968,318,318,318,318,318,16019,16127,638550,151073,162628,167132,157717,State government,2004
30270,21490,28493,29818,29913,23373,30867,19287,19704,18404,18934,20107,30011,6963,8327,7151,7491,Vermont,30860,30029,29500,19245,28733,29926,30737,31107,830,829,829,831,831,30633,29384,855099,207632,249093,167145,231229,Local government,2004
297222,299450,300941,297852,300652,300130,305129,na,na,na,na,na,34199,8302,8380,8621,8889,Vermont,308146,297930,298136,296913,304359,297489,300376,302807,24533,24231,24462,24691,24748,304434,304027,10291859,2472775,2519571,2587300,2712214,Total Covered -  all ownerships,2005
244340,254990,249792,245483,248424,253949,251313,120703,118797,120924,120646,122444,33648,8149,8127,8493,8870,Vermont,254417,245239,246411,255219,253196,244800,247735,248836,22768,22467,22697,22927,22980,250685,251637,8405111,2000449,2018834,2156810,2229019,Private ownership,2005
55033,59614,56717,53127,57051,59258,57432,13637,13046,13870,13856,13774,42332,10592,10232,10449,11061,Vermont,56372,52945,53522,59508,58867,52915,57252,57564,4731,4654,4723,4777,4771,58359,58651,2400912,562735,583740,619172,635266,Goods Producing domain,2005
2879,3364,3010,2601,3106,3329,3005,755,624,861,846,687,27460,6751,6587,6752,7375,Vermont,2848,2568,2551,3315,3310,2683,3128,3000,417,414,419,418,417,3168,3307,82656,17557,20457,22477,22164,Natural Resources and Mining supersector,2005
2198,2601,2315,2012,2393,2567,2288,680,554,783,767,615,23216,5596,5622,5759,6229,Vermont,2169,1990,1973,2561,2565,2072,2416,2271,357,355,359,358,357,2425,2538,53744,11257,13453,14780,14253,"Agriculture, forestry, fishing and hunting",2005
681,763,695,589,713,762,717,75,70,78,79,72,41590,10696,9828,10100,11034,Vermont,679,578,578,754,745,611,712,729,60,59,60,60,60,743,769,28912,6300,7004,7697,7911,Mining,2005
15440,19110,16867,14013,17019,18924,17511,1943,1674,2041,2061,1995,36322,8469,8610,9026,10087,Vermont,16606,13797,14419,19175,18331,13824,17287,17635,3118,3041,3106,3161,3165,18291,18487,612642,118674,146534,170800,176634,Construction supersector,2005
36714,37140,36840,36513,36926,37005,36916,10939,10748,10968,10949,11092,46298,11681,11286,11509,11823,Vermont,36918,36580,36552,37018,37226,36408,36837,36929,1196,1199,1198,1198,1189,36900,36857,1705614,426504,416749,425895,436467,Manufacturing supersector,2005
26440,26520,26422,26250,26547,26466,26423,7152,7090,7174,7125,7220,49807,12694,12131,12338,12647,Vermont,26428,26343,26224,26476,26694,26184,26508,26440,779,782,781,780,773,26402,26402,1315982,333231,322043,326531,334177,Durable Goods manufacturing,2005
10274,10620,10418,10263,10378,10539,10492,3787,3658,3794,3824,3872,37399,9088,9125,9428,9749,Vermont,10490,10237,10328,10542,10532,10224,10329,10489,417,417,417,418,416,10498,10455,389633,93273,94705,99364,102290,Non-Durable Goods manufacturing,2005
189307,195376,193075,192356,191373,194691,193881,107066,105751,107054,106790,108670,31098,7474,7499,7898,8220,Vermont,198045,192294,192889,195711,194329,191885,190483,191272,18037,17813,17974,18150,18209,192326,192986,6004199,1437714,1435094,1537638,1593753,Service Providing domain,2005
58244,59113,59167,58381,58885,59075,60330,24884,24092,24765,24710,25969,30223,7299,7293,7670,7948,Vermont,61345,58423,58834,59176,59430,57885,58980,60252,5606,5551,5582,5645,5644,59392,58935,1788215,426116,429471,453123,479506,"Trade, Transportation, and Utilities supersector",2005
9943,10215,10072,9909,10011,10165,10204,2848,2723,2818,2884,2965,45926,11363,11043,11654,11855,Vermont,10262,9909,9955,10154,10073,9863,10018,10233,1342,1304,1330,1360,1372,10116,10127,462580,112595,110553,118467,120965,Wholesale trade,2005
39766,40699,40464,39757,40261,40573,41267,19681,19004,19682,19528,20508,23746,5587,5781,6073,6292,Vermont,42086,39808,40101,40816,40673,39361,40345,41161,3654,3639,3641,3674,3661,40553,40203,960884,222112,232753,246383,259636,Retail trade,2005
6840,6472,6927,7023,6910,6620,7156,1953,1963,1863,1896,2088,32778,7542,8074,8630,8548,Vermont,7284,7014,7082,6490,6980,6974,6911,7155,562,560,563,563,563,7028,6898,227061,52971,55797,57129,61165,Transportation and warehousing,2005
1695,1727,1703,1692,1702,1717,1704,404,402,402,402,408,80832,22722,17846,18142,22152,Vermont,1713,1692,1696,1716,1704,1687,1706,1703,48,48,48,48,48,1695,1707,137690,38438,30368,31144,37740,Utilities,2005
6174,6239,6232,6241,6211,6231,6247,3098,3094,3112,3070,3114,39590,9650,9531,10290,10117,Vermont,6285,6207,6261,6260,6242,6254,6216,6244,504,501,504,504,505,6212,6194,246739,60223,59193,64119,63204,Information supersector,2005
12746,13184,12914,12776,12915,13100,12865,8165,8213,8297,8090,8059,48255,12963,11485,11709,12114,Vermont,12936,12729,12793,13188,13115,12805,12884,12834,1715,1691,1703,1719,1745,12825,12928,623166,165609,148324,153388,155844,Financial Activities supersector,2005
9609,9751,9650,9603,9668,9705,9626,6707,6803,6829,6618,6576,54582,15043,12909,13267,13372,Vermont,9684,9573,9607,9755,9736,9628,9659,9609,958,946,951,961,974,9586,9609,526741,144449,124805,128759,128727,Finance and insurance,2005
3137,3433,3263,3173,3247,3395,3239,1458,1410,1468,1472,1483,29547,6669,7243,7255,8373,Vermont,3252,3156,3186,3433,3379,3177,3225,3225,757,745,752,758,771,3239,3319,96425,21160,23519,24629,27117,Real estate and rental and leasing,2005
21731,22341,21846,20976,21997,22264,22148,9601,9614,9511,9543,9736,41670,9523,9778,10391,11927,Vermont,22159,20906,20828,22370,22265,21194,21996,22088,3755,3624,3715,3805,3875,22198,22082,910350,199765,215090,231341,264155,Professional and Business Services supersector,2005
12793,12763,12797,12641,12776,12762,13009,6312,6412,6249,6215,6373,52299,11625,12114,13010,15491,Vermont,13105,12617,12560,12781,12826,12746,12708,12982,2602,2511,2565,2631,2701,12941,12741,669261,146945,154761,166029,201526,Professional and technical services,2005
325,299,308,288,328,304,313,133,126,135,125,145,63025,18827,14168,14731,15591,Vermont,336,277,283,313,324,303,334,316,22,23,23,22,21,288,299,19417,5416,4642,4473,4885,Management of companies and enterprises,2005
8613,9279,8741,8047,8894,9199,8826,3156,3076,3127,3203,3218,25359,5891,6261,6614,6543,Vermont,8718,8012,7985,9276,9115,8145,8954,8790,1131,1090,1127,1152,1153,8969,9042,221673,47403,55687,60838,57744,Administrative and waste services,2005
50924,50136,50793,50457,50902,50516,51296,38531,38322,38317,38570,38913,32925,7836,7971,8555,8560,Vermont,51698,50413,50350,50444,50672,50607,51110,51155,2205,2199,2207,2224,2191,51034,50967,1672366,395385,405742,432170,439069,Education and Health Services supersector,2005
9256,8239,9064,9353,9077,8530,9297,5262,5435,4999,5225,5390,34779,7963,8801,9656,8445,Vermont,9388,9436,9237,8326,8746,9386,9228,9302,320,315,321,322,323,9201,9026,315250,74478,79884,82372,78516,Educational services,2005
41668,41897,41728,41104,41825,41985,41999,33268,32887,33318,33345,33523,32523,7807,7791,8331,8585,Vermont,42310,40977,41113,42118,41926,41221,41882,41853,1885,1884,1886,1902,1868,41833,41941,1357116,320906,325859,349798,360553,Health care and social assistance,2005
30395,35173,33064,34610,31237,34341,32068,18038,17763,18111,18053,18226,16262,3970,3884,4210,4191,Vermont,34622,34705,34915,35003,33196,34209,30119,29828,2225,2213,2226,2233,2228,31755,32846,537688,137391,121315,144590,134392,Leisure and Hospitality supersector,2005
3418,4784,3868,3350,3942,4670,3509,1962,1767,2122,2104,1855,18224,4360,4199,4397,5357,Vermont,3514,3359,3283,4804,4444,3409,3964,3105,408,405,405,410,412,3907,4422,70487,14606,16552,20533,18796,"Arts, entertainment, and recreation",2005
26977,30389,29196,31259,27295,29671,28560,16076,15996,15989,15949,16371,16002,3928,3838,4181,4048,Vermont,31108,31346,31632,30199,28752,30800,26155,26723,1817,1808,1821,1823,1816,27848,28424,467200,122785,104763,124057,115596,Accommodation and food services,2005
9093,9190,9059,8917,9227,9165,8927,4750,4653,4941,4754,4653,24912,5969,6065,6428,6450,Vermont,9000,8911,8908,9270,9409,8931,9178,8871,2028,2034,2037,2020,2021,8910,9034,225676,53226,55959,58908,57583,"Other services, except public administration supersector",2005
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vermont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unspecified industry supersector,2005
6056,6118,6080,6096,6083,6085,6056,na,na,na,na,na,53995,13306,13804,12880,14007,Vermont,6094,6117,6114,6132,6117,6058,6077,6048,621,619,620,620,624,6026,6005,328296,81119,83975,78377,84826,Federal Government,2005
16029,15833,15948,15817,15610,15980,16385,7972,7929,7667,8155,8137,41921,11092,9838,10876,10115,Vermont,16355,16054,15442,15689,15590,15956,15212,16369,316,317,316,316,316,16432,16417,668566,175452,153570,173801,165743,State government,2005
30797,22509,29120,30455,30535,24117,31375,19740,20116,18899,19427,20519,30559,7084,8619,7394,7414,Vermont,31280,30520,30169,19873,29456,30675,31352,31554,828,828,829,828,828,31291,29968,889886,215755,263192,178312,232627,Local government,2005
298449,300927,302969,300928,302799,301251,306898,na,na,na,na,na,35585,8948,8663,8742,9228,Vermont,309069,301049,300977,296779,307955,300758,301993,304754,24541,24238,24474,24778,24674,306871,306046,10781280,2692602,2623266,2633409,2832004,Total Covered -  all ownerships,2006
244636,256705,251380,247670,249555,255337,252957,122066,120032,122516,121981,123734,34988,8862,8419,8522,9185,Vermont,255114,247427,248334,256052,255459,247250,248569,250781,22843,22543,22776,23079,22975,252976,253254,8795285,2194927,2100884,2175945,2323529,Private ownership,2006
55293,59210,56608,53231,57044,58918,57240,13476,12942,13648,13674,13638,43767,11197,10573,10521,11505,Vermont,56341,53041,53522,59207,58655,53130,57185,57257,4716,4631,4691,4777,4763,58123,58336,2477571,596044,603109,619871,658547,Goods Producing domain,2006
2962,3329,3051,2653,3176,3333,3040,787,676,924,864,683,29378,7255,7104,7047,8000,Vermont,2865,2595,2612,3373,3373,2753,3193,3026,413,411,410,418,413,3228,3297,89618,19250,22561,23488,24318,Natural Resources and Mining supersector,2006
2234,2539,2326,2051,2421,2545,2287,714,611,846,788,609,23959,5989,5791,5796,6417,Vermont,2139,2024,2021,2587,2595,2109,2433,2271,355,355,353,358,354,2452,2509,55731,12286,14017,14750,14677,"Agriculture, forestry, fishing and hunting",2006
728,790,724,602,755,788,752,73,65,78,76,74,46778,11569,11311,11090,12814,Vermont,726,571,591,786,778,644,760,755,58,56,57,60,59,776,788,33887,6964,8543,8739,9641,Mining,2006
